"Data Source","World Development Indicators",

"Last Updated Date","2024-03-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.2447767350165","18.2247173560327","18.5357254141245","17.6870698129951","18.7262263940603","17.0435289734619","17.6920015073591","17.5830421652791","16.6669160634406","17.3322709982863","18.0884372785856","18.620099134386","19.3828805723875","20.9708514773054","23.0264452058558","23.2511508161212","21.0831557533454","21.4636747046924","21.4207030298562","21.8953675682672","22.3897915558404","21.8107795779924","20.5896040350187","20.596292100171","20.3470268643472","21.0998086870032","20.5291233345361","19.9855966932978","19.5058779363169","",
"Afghanistan","AFG","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4556283331357","12.9867036666422","","",
"Africa Western and Central","AFW","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","","","","","","","","","","","","30.326652990374","29.6747783948109","30.6077391870484","27.7922461605684","21.947654047901","25.1558475411653","29.2199737090593","42.7924883918699","28.2365040950311","26.3924036529294","26.6808371404382","26.1584990804095","27.4788100050412","28.2096050899583","26.2132146675759","23.2423166653967","17.1946986199565","17.7122552404386","26.4904004984611","26.4373618826197","25.6723196112891","",
"Albania","ALB","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","35.1454825483242","32.1448264037499","34.4923012277707","36.6919155125718","38.3472354348279","33.45274868539","32.0944339250987","33.5688783800913","32.6815097480848","32.4776201793981","30.360946807547","7.60311109567282","5.65668410228241","13.6761374504386","18.8965848987739","21.2785134595821","21.7944514728181","20.1153855440596","21.4886916392966","23.5431069852162","31.9065919924022","36.7293171165447","36.0555222491949","35.893897051663","37.7956906742438","37.9198508262628","38.0702469821882","36.3847418200197","33.9492974767645","32.7089102886875","28.4284718608957","29.3662326698569","26.4886769391909","26.0795576173676","24.1586735516607","24.4134902778833","24.3679312234674","24.5765033636177","23.862626974036","22.3132984158928","22.6495060386901","24.3536146099874","23.8869903789811","",
"Andorra","AND","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","19.9786663529718","19.5915562408163","18.2917280456731","19.239862263301","20.9113557576523","16.5381882936504","26.5485991037054","29.6608813392536","32.8475299041739","35.813404689956","29.8588373365803","26.3935033397209","30.0984330785312","33.754834324964","34.3771942702346","31.0008596894271","29.2290847810002","30.3113986301044","26.908080705358","25.2919688592517","26.4121095144108","20.9126942352689","23.5278954031879","24.5545246391123","25.5653418320454","24.9807893313468","23.8137964653302","22.486815026349","21.8937901726386","23.0764965170802","21.1483120983066","19.1315241801003","20.2471079548793","20.664132679474","21.1335558966717","20.857840429681","20.987147802104","21.3932453000626","23.2004338578161","23.1928414357045","25.3571767259048","24.2168190077901","22.3562437186217","21.1547743541737","21.7044582797974","22.5372311211841","25.1307815073583","23.7574349966298","22.2283730799289","21.2171983803517","22.2674812110137","21.6501313869799","20.5309805644191","20.3730462207279","",
"United Arab Emirates","ARE","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.9781022476885","21.0714174063972","20.7914763654519","18.6841157151146","18.3791279785529","17.5782112065002","23.5730265192985","22.3738986039956","28.9130021991292","23.9025099546165","20.8318259883744","20.2703249640649","17.7534303714182","19.060361107777","22.6115622928477","23.6443123845726","18.7381476139802","17.1282976717785","18.3694981530007","20.2055710089238","","","",
"Argentina","ARG","Gross fixed capital formation (% of GDP)","NE.GDI.FTOT.ZS","23.4787682830017","27.7658954095825","21.7305032785137","18.2725157879141","17.1788998053412","19.223425192304","20.5425466290179","21.2150357873283","21.6904972921362","23.9906052021963","24.4400952475051","24.1130324177909","23.8915446190398","20.8938115320811","22.2603317856376","29.4410469590453","30.7294395896829","30.9416888038212","27.8218932100794","23.9151408095888","25.257786289888","22.6910887215618","21.7549479464592","20.8877523061467","19.9640924492995","17.5890669180019","17.4617642050861","19.5548660012086","18.6400388971926","15.5146982752804","13.9969815756662","14.6369773950796","16.7024057741857","19.0564340661161","19.9389752563704","17.9377461107015","18.0821812623381","19.37012354068","19.9349616865126","18.0140244001369","16.192649393261","14.1791183183273","11.9606480900889","15.1375075649857","15.8937872782322","17.3511468951153","18.3311867225446","19.5160791570053","19.0101609779701","15.581752639827","16.6414661565525","17.2482847013515","15.8575254186347","16.2895111851898","15.9799540764527","15.5647450770354","14.2723627542237","15.1621987548244","15.2510495001607","14.1990461422681","14.282505371897","17.6258882747346","17.8843091587356","",
